"Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals_Added","Base_Salary","Guaranteed_Compensation","Log_Goals_Added"
"Matt Real","PHI",2022,"CM",205,-0.11,-0.01,-0.04,-0.08,-0.02,0.03,-0.23,105000,105000,0.6232492903979
"Tayvon Gray","NYC",2022,"FB",2125,0.01,0.3,0.36,-0.54,-0.32,-0.05,-0.23,125000,144788,0.6232492903979
"Tristan Blackmon","VAN",2022,"CB",2350,0.42,-0.34,0.02,0.02,-0.41,0.06,-0.24,350000,401208,0.622214022966295
"Ralph Priso-Mbongue","COL, TOR",2022,"CM",533,0.04,-0.01,0.06,-0.06,-0.19,-0.08,-0.24,85444,89195,0.622214022966295
"Pablo Bonilla","POR",2022,"FB",285,-0.02,-0.02,0.01,0.03,-0.16,-0.08,-0.24,132000,144667,0.622214022966295
"Dominique Badji","CIN",2022,"ST",1217,0.15,-0.36,0.09,-0.12,0,0,-0.24,5e+05,555000,0.622214022966295
"Ronald Matarrita","CIN",2022,"FB",264,-0.06,-0.24,-0.06,0.08,-0.02,0.06,-0.25,750000,806875,0.621176281775035
"Derrick Jones","CLT",2022,"DM",1053,-0.04,-0.1,0.25,-0.2,-0.12,-0.03,-0.25,185000,207969,0.621176281775035
"Rodrigo Schlegel","ORL",2022,"CB",2423,0.47,-0.77,0.41,0.18,-0.49,-0.06,-0.25,2e+05,2e+05,0.621176281775035
"Brek Shea","MIA",2022,"FB",182,-0.04,0,-0.07,-0.13,0.02,-0.04,-0.26,182000,206100,0.620136054973757
"Edwin Mosquera","ATL",2022,"W",376,0.06,-0.1,-0.08,-0.24,0.02,0.06,-0.27,3e+05,337000,0.619093330626743
"Matt Polster","NER",2022,"DM",2325,0.53,-0.03,-0.4,-0.16,-0.14,-0.07,-0.27,325000,353437,0.619093330626743
"Kwadwo Opoku","LAFC",2022,"W",1946,-0.88,-0.14,-0.13,-0.47,0.81,0.55,-0.27,92000,133095,0.619093330626743
"Esmir Bajraktarevic","NER",2022,"CM",141,0.12,-0.01,-0.06,-0.17,-0.09,-0.06,-0.27,65500,71559,0.619093330626743
"Kei Kamara","MTL",2022,"ST",1751,0.38,-0.23,0,-0.35,0.12,-0.19,-0.27,84000,94000,0.619093330626743
"Michael Baldisimo","VAN",2022,"CM",520,-0.04,-0.06,0.12,-0.08,-0.15,-0.07,-0.28,107415,109292,0.618048096712093
"Quinn Sullivan","PHI",2022,"ST",316,0.15,-0.04,-0.05,0,-0.28,-0.06,-0.28,1e+05,103500,0.618048096712093
"Anderson Julio","RSL",2022,"ST",619,0.66,-0.07,-0.09,-0.68,-0.08,-0.02,-0.28,750000,820000,0.618048096712093
"Nathan","POR",2022,"ST",474,-0.33,-0.06,-0.05,-0.34,0.46,0.04,-0.28,650000,691250,0.618048096712093
"Nathan","POR",2022,"ST",474,-0.33,-0.06,-0.05,-0.34,0.46,0.04,-0.28,65500,65500,0.618048096712093
"Shea Salinas","SJE",2022,"W",257,0.16,0.04,0.05,-0.39,-0.16,0.01,-0.28,280000,280000,0.618048096712093
"Logan Ndenbe","SKC",2022,"FB",1931,0.18,0.23,0.1,-0.46,-0.17,-0.18,-0.29,350000,396125,0.617000341120899
"Felipe","ATX",2022,"DM",891,0.45,-0.05,-0.09,-0.31,-0.23,-0.06,-0.29,84000,84000,0.617000341120899
"Yaw Yeboah","CLB",2022,"W",891,0.2,0.05,-0.09,-0.28,-0.14,-0.03,-0.29,6e+05,663750,0.617000341120899
"Mason Toye","MTL",2022,"ST",802,-0.09,0.15,-0.16,-0.37,0.21,-0.02,-0.29,5e+05,558000,0.617000341120899
"Justin Rasmussen","POR",2022,"FB",714,-0.25,0.01,-0.03,0.02,-0.04,-0.01,-0.29,65500,65500,0.617000341120899
"Thomas Williams","ORL",2022,"CB",199,-0.02,0.01,-0.15,-0.01,-0.08,-0.04,-0.3,66724,73254,0.615950051656401
"Everton Luiz","RSL",2022,"CM",488,0,-0.08,0.29,-0.11,-0.26,-0.15,-0.3,5e+05,570833,0.615950051656401
"Sean Zawadzki","CLB",2022,"CM",318,-0.07,0.25,-0.2,-0.1,-0.11,-0.07,-0.3,84000,89000,0.615950051656401
"Jimmy Medranda","SEA",2022,"FB",753,0.01,-0.3,0.24,-0.12,-0.27,0.14,-0.3,2e+05,210000,0.615950051656401
"Nicolas Isimat-Mirin","SKC",2022,"CB",2506,-0.17,-0.02,0.28,-0.58,0.17,0.01,-0.3,950000,1028120,0.615950051656401
"Jhojan Valencia","ATX",2022,"DM",540,-0.06,-0.04,0.1,-0.14,-0.11,-0.07,-0.3,355000,400125,0.615950051656401
"Theodore Ku-Dipietro","DCU",2022,"W",286,-0.08,0.04,-0.08,-0.01,-0.07,-0.11,-0.31,65500,65500,0.614897216033135
"Nick Besler","RSL",2022,"CM",296,0.01,-0.01,-0.07,-0.01,-0.15,-0.07,-0.31,210000,210000,0.614897216033135
"Michael Boxall","MIN",2022,"CB",3045,0.16,-0.12,0.11,-0.14,-0.18,-0.14,-0.31,602210,655307,0.614897216033135
"Memo Rodríguez","HOU",2022,"W",1656,0.01,-0.29,0.49,-0.21,-0.33,0.02,-0.32,285000,310935,0.613841821876069
"Iván Angulo","ORL",2022,"W",603,0.11,-0.07,-0.01,-0.1,-0.34,0.08,-0.32,348000,380660,0.613841821876069
"Alan Velasco","FCD",2022,"W",2064,-0.06,-0.09,-0.16,0.47,-0.69,0.22,-0.32,1.1e+06,1305000,0.613841821876069
"Ryan Raposo","VAN",2022,"FB",1600,-0.02,0.11,-0.28,-0.15,-0.13,0.15,-0.32,1e+05,114000,0.613841821876069
"Nathan Byrne","CLT",2022,"FB",326,-0.03,0,-0.13,-0.08,-0.06,-0.04,-0.33,560000,607833,0.612783856719735
"Braian Ojeda","RSL",2022,"CM",395,0.19,-0.09,-0.27,0.04,-0.13,-0.07,-0.33,550000,608653,0.612783856719735
"Caio Alexandre","VAN",2022,"CM",102,-0.04,-0.01,-0.15,-0.04,-0.06,-0.04,-0.33,5e+05,562500,0.612783856719735
"Sega Coulibaly","LAG",2022,"CB",2394,0.36,0.12,-0.9,0.15,-0.03,-0.04,-0.33,420000,457000,0.612783856719735
"Javier Casas","CHI",2022,"DM",64,-0.16,0.02,-0.09,-0.11,0.03,-0.02,-0.33,84000,85900,0.612783856719735
"Kyle Smith","ORL",2022,"FB",1592,-0.17,0.02,0.15,-0.07,-0.23,-0.03,-0.34,128580,141244,0.611723308007342
"Jojea Kwizera","MTL",2022,"FB",321,-0.22,0.01,-0.03,-0.09,-0.02,0.01,-0.34,65500,65500,0.611723308007342
"Bryan Oviedo","RSL",2022,"FB",396,-0.08,0.03,-0.02,-0.12,-0.1,-0.04,-0.34,274800,320960,0.611723308007342
"Bakaye Dibassy","MIN",2022,"CB",2468,-0.39,0.22,0.66,-0.67,-0.03,-0.13,-0.34,650000,743125,0.611723308007342
"Júnior Urso","ORL",2022,"DM",2817,-0.48,-0.15,-0.03,-0.76,0.8,0.27,-0.34,750000,780000,0.611723308007342
"A.J. DeLaGarza","NER",2022,"FB",314,-0.05,0,-0.03,-0.15,-0.07,-0.04,-0.34,250000,250000,0.611723308007342
"Yimmi Chará","POR",2022,"W",2998,-0.07,0.07,0.36,-0.16,-0.24,-0.3,-0.34,1.5e+06,1803000,0.611723308007342
"Johnny Russell","SKC",2022,"W",2923,1.59,-0.15,-0.4,-0.2,-1.08,-0.1,-0.34,2e+06,2e+06,0.611723308007342
"Victor Ulloa","MIA",2022,"CM",457,-0.2,-0.01,0.1,-0.13,0,-0.11,-0.34,250000,250000,0.611723308007342
"Joseph Rosales","MIN",2022,"DM",1174,-0.24,0.17,0.25,0.15,-0.48,-0.19,-0.35,65500,65500,0.61066016308988
"Sam Junqua","HOU",2022,"FB",616,0.06,0.03,-0.05,-0.07,-0.23,-0.09,-0.35,89513,89513,0.61066016308988
"Jordan Perruzza","TOR",2022,"W",286,-0.13,-0.03,-0.03,-0.1,-0.07,0.01,-0.35,84000,86500,0.61066016308988
"Tosaint Ricketts","VAN",2022,"ST",563,0.04,-0.01,-0.08,-0.36,-0.01,0.07,-0.35,84000,84000,0.61066016308988
"Gustavo Vallecilla","COL",2022,"CB",632,-0.06,-0.24,0.39,-0.22,-0.21,-0.02,-0.36,312000,344880,0.60959440922522
"Robert Taylor","MIA",2022,"W",2409,0.14,0.19,-0.16,-0.21,-0.25,-0.06,-0.36,252000,278900,0.60959440922522
"Jacen Russel-Rowe","CLB",2022,"ST",255,0.03,0.05,-0.03,-0.12,-0.21,-0.08,-0.36,65500,72866,0.60959440922522
"David Ayala","POR",2022,"CM",852,0.18,-0.09,-0.07,-0.03,-0.3,-0.06,-0.36,275000,395000,0.60959440922522
"Danny Leyva","SEA",2022,"CM",1046,-0.11,0.01,0.2,-0.04,-0.29,-0.13,-0.37,110000,129423,0.608526033577194
"Keegan Rosenberry","COL",2022,"FB",3280,0.38,-0.59,0.24,-0.08,-0.33,0.01,-0.37,4e+05,4e+05,0.608526033577194
"Nigel Robertha","DCU",2022,"W",815,0.16,-0.14,-0.09,0.2,-0.33,-0.17,-0.37,550000,622406,0.608526033577194
"Joshua Atencio","SEA",2022,"DM",808,0.11,-0.01,0.09,-0.07,-0.34,-0.16,-0.37,84000,88557,0.608526033577194
"Orrin McKinze Gaines II","CLT",2022,"W",1197,-0.32,0.11,-0.12,-0.25,0.32,-0.13,-0.37,84000,86750,0.608526033577194
"Jared Stroud","ATX",2022,"W",65,-0.02,-0.01,-0.22,-0.04,-0.05,-0.03,-0.38,84000,84000,0.607455023214668
"Kellyn Acosta","LAFC",2022,"CM",2824,0.08,0.3,-0.56,0.1,-0.33,0.04,-0.38,1.1e+06,1215000,0.607455023214668
"César Araujo","ORL",2022,"DM",2702,-0.21,0.1,0.08,0.4,-0.56,-0.19,-0.38,180000,261000,0.607455023214668
"Tanner Beason","SJE",2022,"CB",2431,-0.15,0.21,0.21,-0.44,-0.04,-0.17,-0.38,2e+05,2e+05,0.607455023214668
"Luke Haakenson","NSH",2022,"CM",718,0.11,0.05,-0.14,-0.22,-0.05,-0.13,-0.38,84000,84000,0.607455023214668
"Kelyn Rowe","SEA",2022,"FB",1438,-0.13,-0.03,-0.01,-0.06,-0.18,0,-0.41,275000,275000,0.60422605308447
"Dylan Borrero","NER",2022,"W",660,-0.09,-0.04,-0.22,0.08,-0.2,0.05,-0.41,550000,613962,0.60422605308447
"Kayden Pierre","SKC",2022,"FB",1072,0.24,-0.14,0.12,-0.18,-0.31,-0.15,-0.41,65500,70600,0.60422605308447
"Aaron Long","NYRB",2022,"CB",2622,-0.14,0.33,-1.39,-0.44,0.95,0.27,-0.42,1050000,1080000,0.603144372620182
"Oniel Fisher","MIN",2022,"FB",691,-0.21,0.01,0.08,-0.03,-0.14,-0.13,-0.42,120000,133000,0.603144372620182
"Ahmed Hamdi","MTL",2022,"AM",379,-0.17,0.22,-0.08,-0.21,-0.09,-0.09,-0.42,475000,572500,0.603144372620182
"Brooks Lennon","ATL",2022,"FB",2249,-0.22,0.49,-0.82,-0.29,0.58,-0.17,-0.42,5e+05,5e+05,0.603144372620182
"Steven Moreira","CLB",2022,"FB",3087,-0.02,-0.14,-0.36,0.12,0.04,-0.07,-0.43,550000,632708,0.602059991327962
"Tyler Wolff","ATL",2022,"W",266,-0.3,0.01,0.07,-0.17,-0.05,0,-0.44,110000,114500,0.600972895686748
"Nicolás Lodeiro","SEA",2022,"AM",2527,-0.4,-0.26,0.27,1.07,-0.73,-0.4,-0.45,2640000,3256670,0.599883072073688
"Kortne Ford","SKC",2022,"CB",906,0.03,-0.29,0.1,-0.01,-0.2,-0.08,-0.45,150000,151667,0.599883072073688
"Chris Mueller","CHI",2022,"W",2132,-0.39,0.19,-0.2,-0.45,0.19,0.21,-0.45,549996,612316,0.599883072073688
"Alistair Johnston","MTL",2022,"FB",2929,-0.09,0.28,-0.45,-0.53,0.24,0.1,-0.45,4e+05,445625,0.599883072073688
"Alessandro Schöpf","VAN",2022,"AM",368,-0.16,-0.03,0.05,-0.33,0.07,-0.05,-0.45,8e+05,892500,0.599883072073688
"Henry Kessler","NER",2022,"CB",2017,0.06,-0.45,0,0.15,-0.22,0.01,-0.46,150000,170000,0.598790506763115
"Maciel","NER",2022,"DM",760,-0.03,-0.07,-0.07,0.16,-0.27,-0.17,-0.46,69902,69902,0.598790506763115
"Emiliano Rigoni","ATX",2022,"W",311,-0.13,-0.03,-0.01,0.02,-0.2,-0.11,-0.46,1846150,2294150,0.598790506763115
"Andre Reynolds","CHI",2022,"W",470,-0.11,0.02,0.15,-0.13,-0.21,-0.18,-0.47,9e+04,98000,0.597695185925512
"Héber","NYC",2022,"ST",1171,-0.31,0.15,-0.13,-0.56,0.12,0.25,-0.48,825000,914000,0.59659709562646
"Kipp Keller","ATX",2022,"CB",359,-0.17,-0.05,-0.32,0.17,-0.08,-0.04,-0.49,84000,96500,0.595496221825574
"Raymon Gaddis","CIN",2022,"FB",1251,-0.12,-0.18,0.07,0.01,-0.16,-0.1,-0.49,230000,230000,0.595496221825574
"Omar González","NER",2022,"CB",854,-0.09,-0.19,-0.08,-0.1,-0.11,0.08,-0.49,425000,450000,0.595496221825574
"Teal Bunbury","NSH",2022,"ST",747,-0.46,-0.09,-0.12,-0.19,0.15,0.21,-0.49,4e+05,444167,0.595496221825574
"Mauricio Pereyra","ORL",2022,"AM",2720,-0.09,-0.05,-0.2,1.55,-1.14,-0.57,-0.5,1.1e+06,1348000,0.594392550375427
"Brent Kallman","MIN",2022,"CB",1524,-0.25,0.05,-0.27,-0.01,-0.13,0.11,-0.5,160000,168000,0.594392550375427
"Ilie Sánchez","LAFC",2022,"DM",2956,-0.08,-0.18,-0.43,0.83,-0.39,-0.25,-0.5,1150000,1150000,0.594392550375427
"Tyler Blackett","CIN",2022,"CB",1504,0.06,-0.44,-0.21,0.18,-0.01,-0.09,-0.51,840000,840000,0.593286067020457
"Noah Allen","MIA",2022,"FB",368,-0.17,0,-0.11,-0.11,-0.09,-0.02,-0.51,65500,67167,0.593286067020457
"Donovan Pines","DCU",2022,"CB",1619,-0.29,-0.1,0.33,-0.43,0.1,-0.12,-0.51,150000,152000,0.593286067020457
"Dániel Sallói","SKC",2022,"W",2759,-0.2,0.33,-0.14,-0.13,-0.61,0.25,-0.51,450000,506667,0.593286067020457
"Maikel Chang","RSL",2022,"W",1988,-0.46,-0.1,0.12,-0.06,0.14,-0.16,-0.51,98261,98261,0.593286067020457
"Brian Gutierrez","CHI",2022,"W",1803,-0.43,-0.15,-0.07,0.12,0.26,-0.24,-0.52,104000,105900,0.592176757395867
"Sam Nicholson","COL",2022,"W",909,-0.24,-0.04,0.08,-0.06,-0.24,-0.02,-0.52,3e+05,335313,0.592176757395867
"Erik Hurtado","CLB",2022,"ST",499,0.19,-0.06,-0.17,-0.46,-0.01,0,-0.52,84000,84000,0.592176757395867
"Drew Moor","COL",2022,"CB",279,-0.16,-0.03,-0.22,-0.05,-0.03,-0.03,-0.52,150000,172500,0.592176757395867
"Jhon Espinoza","CHI",2022,"FB",592,-0.05,-0.29,-0.02,-0.05,0.05,-0.17,-0.53,216000,242500,0.591064607026499
"Paxton Pomykal","FCD",2022,"CM",2627,0.5,-0.23,-0.32,0.15,-0.39,-0.23,-0.53,7e+05,7e+05,0.591064607026499
"Brian White","VAN",2022,"ST",1805,-1.09,-0.23,-0.2,-0.94,1.89,0.03,-0.54,456000,456000,0.589949601325708
"Kevin O'Toole","NYC",2022,"W",302,-0.2,-0.03,0.12,-0.09,-0.22,-0.12,-0.54,65500,65500,0.589949601325708
"Larrys Mabiala","POR",2022,"CB",1731,-0.42,-0.04,0.52,-0.06,-0.38,-0.17,-0.54,450000,460000,0.589949601325708
"Francisco Ginella","LAFC",2022,"CM",528,-0.01,-0.19,-0.2,0.03,-0.17,0,-0.55,450000,572250,0.588831725594207
"Kacper Przybylko","CHI",2022,"ST",1742,0.21,-0.09,-0.19,-0.58,0.08,0.02,-0.55,1.1e+06,1212500,0.588831725594207
"Darwin Cerén","HOU",2022,"DM",1285,-0.04,-0.02,0.25,-0.19,-0.35,-0.2,-0.55,190000,240000,0.588831725594207
"Paul Arriola","FCD",2022,"W",2813,-1.17,0.04,-0.24,-0.06,0.81,0.07,-0.55,1.1e+06,1130000,0.588831725594207
"John Nelson","CIN",2022,"FB",1332,-0.06,0.08,0.14,-0.55,-0.13,-0.05,-0.56,65500,73500,0.587710965018911
"Jackson Yueill","SJE",2022,"DM",2924,-0.13,-0.18,-0.28,0.32,-0.03,-0.28,-0.57,7e+05,736875,0.586587304671755
"Kadin Chung","TOR",2022,"FB",495,0.02,-0.19,0.01,-0.28,-0.08,-0.06,-0.57,65500,70631,0.586587304671755
"Emmanuel Boateng","NER",2022,"W",1112,-0.32,-0.14,-0.33,0.1,0.27,-0.15,-0.57,225000,225000,0.586587304671755
"Ola Kamara","DCU",2022,"ST",1652,-0.12,-0.19,-0.58,-0.45,0.67,0.1,-0.57,1.5e+06,1520000,0.586587304671755
"Luis Díaz","CLB",2022,"W",1668,0.2,0.2,-0.12,-0.69,0.04,-0.21,-0.58,375000,408900,0.585460729508501
"Brandon Servania","FCD",2022,"CM",1457,0,-0.01,-0.08,-0.36,-0.22,0.09,-0.58,4e+05,455833,0.585460729508501
"William Sands","CLB",2022,"FB",729,-0.05,0.04,-0.06,-0.19,-0.22,-0.1,-0.59,84000,90250,0.584331224367531
"Russell Canouse","DCU",2022,"CM",1331,-0.13,-0.03,0.32,-0.49,-0.13,-0.13,-0.59,515000,515000,0.584331224367531
"Jack Price","COL",2022,"CM",1211,-0.07,-0.05,-0.35,0.45,-0.24,-0.32,-0.59,662500,725000,0.584331224367531
"Cade Cowell","SJE",2022,"W",1697,-0.31,-0.05,-0.09,-0.15,-0.14,0.15,-0.6,545455,635364,0.583198773968623
"Ifunanyachi Achara","TOR",2022,"W",457,-0.51,-0.06,0.17,-0.44,0.28,-0.03,-0.6,84000,84000,0.583198773968623
"Douglas Costa","LAG",2022,"W",1559,0.49,0.01,-0.26,0.09,-0.79,-0.15,-0.61,3e+06,4508330,0.582063362911709
"Lukas MacNaughton","TOR",2022,"CB",1975,-0.21,0.23,-0.37,-0.14,0.05,-0.17,-0.61,84000,86100,0.582063362911709
"Raúl Ruidíaz","SEA",2022,"ST",1419,-0.55,0.25,-0.23,-0.17,-0.29,0.38,-0.62,2472000,3201120,0.580924975675619
"Zan Kolmanic","ATX",2022,"FB",1187,-0.05,-0.21,-0.59,0.53,-0.21,-0.1,-0.63,3e+05,3e+05,0.57978359661681
"Kamil Jozwiak","CLT",2022,"W",1264,-0.14,0.02,0.1,-0.32,-0.05,-0.24,-0.63,9e+05,1017000,0.57978359661681
"Federico Navarro","CHI",2022,"DM",2708,-0.34,-0.46,1.4,-0.76,-0.44,-0.03,-0.63,200004,275004,0.57978359661681
"Elias Manoel","NYRB",2022,"ST",384,-0.52,-0.02,-0.08,0,0.01,-0.03,-0.63,360000,374800,0.57978359661681
"Justin Haak","NYC",2022,"DM",866,-0.11,0.06,0.19,-0.43,-0.2,-0.15,-0.64,85444,85444,0.578639209968072
"Christopher Gloster","NYC",2022,"FB",531,-0.1,-0.24,-0.28,-0.04,0.01,0.01,-0.64,228000,238000,0.578639209968072
"Chase Gasper","LAG",2022,"FB",933,-0.15,-0.04,0.07,-0.39,-0.1,-0.03,-0.64,375000,4e+05,0.578639209968072
"Zeca","HOU",2022,"FB",1263,0.2,0.03,-0.51,-0.15,-0.08,-0.13,-0.65,218182,259015,0.577491799837225
"Nikola Vujnovic","SKC",2022,"ST",377,-0.1,-0.02,-0.06,-0.06,-0.25,-0.16,-0.65,428580,481705,0.577491799837225
"Andres Jasson","NYC",2022,"FB",541,-0.03,0.01,-0.1,-0.29,-0.19,-0.06,-0.65,1e+05,117144,0.577491799837225
"Darlington Nagbe","CLB",2022,"DM",3358,0.72,0.24,-0.43,-0.47,-0.36,-0.36,-0.66,1760000,1760000,0.576341350205793
"Kevin Molino","CLB",2022,"W",507,0.01,-0.08,0.13,-0.26,-0.31,-0.14,-0.66,700348,700348,0.576341350205793
"Bobby Wood","RSL",2022,"ST",1050,-0.63,-0.11,-0.35,-0.21,0.66,-0.02,-0.66,925000,1018160,0.576341350205793
"Wilfrid Kaptoum","NER",2022,"DM",1155,0.15,-0.03,0.01,-0.64,-0.06,-0.09,-0.66,525000,582500,0.576341350205793
"Shane O'Neill","TOR",2022,"CB",2161,-0.18,-0.04,0.62,-0.27,-0.52,-0.27,-0.66,320000,358000,0.576341350205793
"Cameron Duke","SKC",2022,"CM",1361,0.19,0.05,-0.43,-0.62,0.21,-0.06,-0.68,9e+04,93000,0.574031267727719
"Tyler Pasher","HOU",2022,"W",714,-0.38,-0.09,-0.02,-0.12,0,-0.08,-0.68,157500,165381,0.574031267727719
"Victor Wanyama","MTL",2022,"CM",2913,-0.15,-0.01,-0.35,0.15,-0.19,-0.14,-0.68,2.4e+06,3091667,0.574031267727719
"Cristian Roldan","SEA",2022,"W",2297,-0.16,0.26,-0.8,-0.32,0.45,-0.12,-0.69,860000,981542,0.57287160220048
"Déiber Caicedo","VAN",2022,"ST",1066,0.04,0.22,-0.15,-0.13,-0.43,-0.26,-0.7,3e+05,331125,0.571708831808688
"Alan Steven Franco","CLT",2022,"W",849,-0.16,0.19,-0.21,-0.01,-0.28,-0.23,-0.71,480000,538300,0.570542939881898
"Fabian Herbers","CHI",2022,"W",1209,-0.16,-0.05,0.12,-0.46,-0.15,-0.01,-0.72,260000,281250,0.569373909615046
"Aníbal Godoy","NSH",2022,"CM",1025,-0.06,-0.14,-0.13,-0.26,0.04,-0.18,-0.72,8e+05,871250,0.569373909615046
"Ismael Koné","MTL",2022,"CM",1750,-0.06,0.54,-0.17,-0.9,0.05,-0.19,-0.72,65500,68125,0.569373909615046
"Christian Makoun","NER, CLT",2022,"CB",1368,-0.09,-0.46,0.64,-0.37,-0.33,-0.12,-0.72,2e+05,2e+05,0.569373909615046
"Mathieu Choinière","MTL",2022,"FB",1524,-0.12,0.08,0.23,-1.02,-0.03,0.12,-0.73,125000,134238,0.568201724066995
"Jake Nerwinski","VAN",2022,"CB",1986,-0.05,0.14,-0.62,0.17,-0.27,-0.09,-0.73,265000,280000,0.568201724066995
"Josh Williams","CLB",2022,"CB",1581,-0.15,0.09,-0.3,0.05,-0.23,-0.19,-0.73,325000,325000,0.568201724066995
"Will Bruin","SEA",2022,"ST",982,-0.18,-0.06,-0.16,-0.5,0.24,-0.08,-0.73,260000,260000,0.568201724066995
"Jamiro Monteiro","SJE",2022,"AM",2847,-0.62,-0.11,0.02,0.98,-0.68,-0.33,-0.74,1.2e+06,1293500,0.56702636615906
"Aimé Mabika","MIA",2022,"CB",1126,-0.23,-0.25,0.42,-0.41,-0.17,-0.11,-0.74,65500,73625,0.56702636615906
"Thiago","NYC",2022,"W",1625,-0.38,-0.03,-0.41,-0.59,0.51,0.17,-0.74,180000,199600,0.56702636615906
"Amar Sejdic","ATL",2022,"CM",1403,-0.37,0.05,-0.06,0.19,-0.42,-0.12,-0.75,85444,85444,0.565847818673518
"Kosi Thompson","TOR",2022,"FB",1837,-0.39,0.09,0.25,-0.73,0.03,0.01,-0.75,65500,70760,0.565847818673518
"Harrison Afful","CLT",2022,"FB",1437,-0.35,-0.27,-0.37,0.67,-0.38,-0.06,-0.75,3e+05,332500,0.565847818673518
"Joaquín Torres","MTL",2022,"AM",1464,0.34,0.03,-0.21,-0.18,-0.51,-0.22,-0.76,230000,279800,0.564666064252089
"Facundo Quignón","FCD",2022,"DM",1435,-0.52,-0.35,0.31,-0.03,-0.11,-0.06,-0.76,786000,840627,0.564666064252089
"Ryan Sailor","MIA",2022,"CB",1705,-0.1,0.18,-0.43,-0.45,0.12,-0.09,-0.76,65500,65500,0.564666064252089
"Abu Danladi","MIN",2022,"W",717,-0.52,-0.07,-0.07,0.04,-0.06,-0.09,-0.76,135000,142125,0.564666064252089
"Jon Gallagher","ATX",2022,"FB",2378,-0.34,-0.13,0.17,-0.03,-0.31,-0.12,-0.77,155000,155000,0.563481085394411
"Jonathan Bell","NER",2022,"CB",1145,-0.17,0.09,-0.58,-0.07,0.03,-0.07,-0.77,84000,84000,0.563481085394411
"DeAndre Yedlin","MIA",2022,"FB",3299,-0.07,0.33,-0.37,-0.55,0.17,-0.28,-0.78,8e+05,848750,0.562292864456475
"Ben Sweat","SKC",2022,"FB",1665,0.1,-0.01,-0.31,-0.66,0.11,-0.02,-0.79,2e+05,2e+05,0.561101383649056
"Lucas Esteves","COL",2022,"FB",2503,0.21,-0.2,-0.07,-1,0.11,0.17,-0.79,373032,426092,0.561101383649056
"Ravel Morrison","DCU",2022,"CM",1044,0.1,-0.04,0.04,-0.31,-0.51,-0.1,-0.8,850000,917844,0.559906625036113
"Jan Gregus","SJE",2022,"DM",1842,0.11,-0.17,-0.07,-0.12,-0.52,-0.03,-0.81,6e+05,655000,0.558708570533166
"Chris Mavinga","TOR",2022,"CB",1690,0.07,0.11,-0.42,-0.01,-0.37,-0.19,-0.81,1e+06,1037500,0.558708570533166
"Benjamin Kikanovic","SJE",2022,"W",1501,-0.2,0.26,-0.02,-0.39,-0.28,-0.19,-0.81,85444,91219,0.558708570533166
"Obed Vargas","SEA",2022,"DM",924,0.14,0.07,-0.15,-0.43,-0.28,-0.16,-0.81,65500,74531,0.558708570533166
"Daniel Edelman","NYRB",2022,"CM",1130,-0.05,0.01,-0.21,-0.14,-0.29,-0.13,-0.81,84000,91582,0.558708570533166
"Tom Barlow","NYRB",2022,"ST",1255,-0.66,-0.2,-0.03,-0.19,0.4,-0.15,-0.82,175000,188151,0.557507201905658
"Kevin Cabral","LAG",2022,"W",1832,-0.83,0.37,-0.02,-0.97,0.57,0.05,-0.83,1650000,1650000,0.556302500767287
"Tony Alfaro","DCU",2022,"CB",1062,-0.07,-0.17,-0.49,0.19,-0.22,-0.08,-0.84,89513,89513,0.555094448578319
"Chris Odoi-Atsem","DCU",2022,"FB",939,-0.16,-0.28,-0.16,-0.24,0.02,-0.02,-0.84,140000,151000,0.555094448578319
"Josef Martínez","ATL",2022,"ST",1637,-0.31,-0.12,-0.07,-0.63,0.22,0.07,-0.84,3750000,4141670,0.555094448578319
"Drew Skundrich","DCU",2022,"CM",998,-0.21,-0.03,0,-0.23,-0.23,-0.14,-0.84,89513,89513,0.555094448578319
"Nanu","FCD",2022,"FB",1356,0.13,0.05,-0.15,-0.61,-0.19,-0.07,-0.85,6e+05,668750,0.553883026643874
"Kerwin Calderón Vargas","CLT",2022,"W",682,-0.18,-0.05,-0.01,-0.22,-0.36,-0.02,-0.85,350000,392167,0.553883026643874
"Jack Maher","NSH",2022,"CB",2063,-0.31,-0.1,0.09,0.06,-0.4,-0.2,-0.85,130000,164000,0.553883026643874
"Leonard Owusu","VAN",2022,"CM",961,-0.2,0.08,0.03,-0.27,-0.29,-0.2,-0.85,350000,401250,0.553883026643874
"Frankie Amaya","NYRB",2022,"CM",2169,0.06,-0.21,0.31,-0.1,-0.66,-0.26,-0.86,325000,381406,0.552668216112193
"Caden Clark","NYRB",2022,"W",577,-0.33,-0.06,-0.05,-0.25,-0.06,-0.11,-0.87,148800,331850,0.551449997972875
"Eric Remedi","SJE",2022,"DM",1556,-0.07,-0.07,0.05,-0.33,-0.32,-0.15,-0.89,450000,450000,0.549003262025788
"Obinna Nwobodo","CIN",2022,"CM",2265,0.11,-0.42,0.44,0.04,-0.6,-0.47,-0.89,9e+05,1028100,0.549003262025788
"Leonardo Chú","SEA",2022,"W",927,-0.14,-0.04,-0.2,-0.14,-0.24,-0.14,-0.9,550000,550000,0.547774705387823
